year,quarter,oni
1950,1,-1.20
1950,2,-1.10
1950,3,-0.57
1950,4,-0.66
1951,1,-0.36
1951,2,0.27
1951,3,0.90
1951,4,0.96
1952,1,0.27
1952,2,-0.07
1952,3,-0.20
1952,4,-0.11
1953,1,0.50
1953,2,0.77
1953,3,0.68
1953,4,0.52
1954,1,0.35
1954,2,-0.48
1954,3,-0.83
1954,4,-0.40
1955,1,-0.48
1955,2,-0.78
1955,3,-0.92
1955,4,-1.59
1956,1,-0.81
1956,2,-0.49
1956,3,-0.52
1956,4,-0.37
1957,1,-0.06
1957,2,0.72
1957,3,1.03
1957,4,1.39
1958,1,1.59
1958,2,0.57
1958,3,0.32
1958,4,0.36
1959,1,0.64
1959,2,0.24
1959,3,-0.23
1959,4,0.23
1960,1,0.03
1960,2,0.04
1960,3,0.15
1960,4,-0.07
1961,1,0.03
1961,2,0.22
1961,3,-0.20
1961,4,-0.11
1962,1,-0.17
1962,2,-0.19
1962,3,-0.10
1962,4,-0.25
1963,1,-0.17
1963,2,0.12
1963,3,1.09
1963,4,1.19
1964,1,0.52
1964,2,-0.60
1964,3,-0.70
1964,4,-0.79
1965,1,-0.25
1965,2,0.47
1965,3,1.27
1965,4,1.82
1966,1,0.95
1966,2,0.24
1966,3,0.13
1966,4,-0.23
1967,1,-0.48
1967,2,-0.15
1967,3,-0.26
1967,4,-0.36
1968,1,-0.73
1968,2,-0.10
1968,3,0.38
1968,4,0.66
1969,1,0.98
1969,2,0.62
1969,3,0.41
1969,4,0.81
1970,1,0.23
1970,2,0.11
1970,3,-0.72
1970,4,-0.78
1971,1,-1.36
1971,2,-0.72
1971,3,-0.60
1971,4,-0.86
1972,1,-0.27
1972,2,0.48
1972,3,1.26
1972,4,1.84
1973,1,1.13
1973,2,-0.51
1973,3,-1.11
1973,4,-1.89
1974,1,-1.59
1974,2,-0.71
1974,3,-0.40
1974,4,-0.88
1975,1,-0.55
1975,2,-0.80
1975,3,-1.12
1975,4,-1.47
1976,1,-1.11
1976,2,-0.23
1976,3,0.40
1976,4,0.81
1977,1,0.66
1977,2,0.26
1977,3,0.35
1977,4,0.84
1978,1,0.52
1978,2,-0.28
1978,3,-0.37
1978,4,-0.07
1979,1,0.21
1979,2,0.29
1979,3,0.22
1979,4,0.50
1980,1,0.47
1980,2,0.45
1980,3,-0.06
1980,4,0.08
1981,1,-0.42
1981,2,-0.28
1981,3,-0.23
1981,4,-0.19
1982,1,0.02
1982,2,0.65
1982,3,0.99
1982,4,2.03
1983,1,1.91
1983,2,0.95
1983,3,-0.06
1983,4,-0.96
1984,1,-0.51
1984,2,-0.55
1984,3,-0.22
1984,4,-0.95
1985,1,-0.86
1985,2,-0.79
1985,3,-0.33
1985,4,-0.28
1986,1,-0.38
1986,2,-0.09
1986,3,0.46
1986,4,1.06
1987,1,1.13
1987,2,0.95
1987,3,1.46
1987,4,1.20
1988,1,0.37
1988,2,-0.99
1988,3,-1.14
1988,4,-1.81
1989,1,-1.38
1989,2,-0.61
1989,3,-0.36
1989,4,-0.12
1990,1,0.19
1990,2,0.25
1990,3,0.32
1990,4,0.31
1991,1,0.26
1991,2,0.49
1991,3,0.67
1991,4,1.18
1992,1,1.50
1992,2,1.08
1992,3,0.08
1992,4,-0.24
1993,1,0.31
1993,2,0.76
1993,3,0.22
1993,4,0.20
1994,1,0.00
1994,2,0.25
1994,3,0.30
1994,4,0.93
1995,1,0.65
1995,2,0.03
1995,3,-0.55
1995,4,-1.05
1996,1,-0.70
1996,2,-0.25
1996,3,-0.27
1996,4,-0.39
1997,1,-0.26
1997,2,0.71
1997,3,1.79
1997,4,2.34
1998,1,1.91
1998,2,0.40
1998,3,-0.83
1998,4,-1.31
1999,1,-1.25
1999,2,-0.79
1999,3,-0.94
1999,4,-1.35
2000,1,-1.26
2000,2,-0.67
2000,3,-0.40
2000,4,-0.76
2001,1,-0.54
2001,2,-0.19
2001,3,-0.13
2001,4,-0.33
2002,1,0.07
2002,2,0.30
2002,3,0.63
2002,4,1.19
2003,1,0.59
2003,2,-0.18
2003,3,0.14
2003,4,0.29
2004,1,0.27
2004,2,0.12
2004,3,0.54
2004,4,0.64
2005,1,0.55
2005,2,0.27
2005,3,-0.14
2005,4,-0.57
2006,1,-0.80
2006,2,-0.19
2006,3,0.33
2006,4,0.88
2007,1,0.19
2007,2,-0.34
2007,3,-0.77
2007,4,-1.57
2008,1,-1.61
2008,2,-0.85
2008,3,-0.20
2008,4,-0.57
2009,1,-0.84
2009,2,0.03
2009,3,0.56
2009,4,1.31
2010,1,1.21
2010,2,-0.16
2010,3,-1.24
2010,4,-1.57
2011,1,-1.06
2011,2,-0.50
2011,3,-0.50
2011,4,-1.02
2012,1,-0.56
2012,2,-0.18
2012,3,0.39
2012,4,0.13
2013,1,-0.28
2013,2,-0.30
2013,3,-0.34
2013,4,-0.12
2014,1,-0.21
2014,2,0.35
2014,3,0.07
2014,4,0.70
2015,1,0.65
2015,2,1.04
2015,3,1.73
2015,4,2.45
2016,1,2.21
2016,2,0.57
2016,3,-0.34
2016,4,-0.49
2017,1,0.08
2017,2,0.35
2017,3,-0.07
2017,4,-0.61
2018,1,-0.67
2018,2,-0.07
2018,3,0.30
2018,4,1.04
2019,1,0.94
2019,2,0.71
2019,3,0.20
2019,4,0.72
2020,1,0.66
2020,2,0.04
2020,3,-0.43
2020,4,-1.11
2021,1,-0.85
2021,2,-0.40
2021,3,-0.46
2021,4,-0.91
2022,1,-0.68
2022,2,-0.83
2022,3,-0.78
2022,4,-0.82
2023,1,-0.33
2023,2,0.46
2023,3,1.25
2023,4,1.90
2024,1,1.53
2024,2,0.43
2024,3,-0.04
2024,4,-0.29
2025,1,-0.22
2025,2,-0.04
2025,3,-0.26
2025,4,-0.61
2026,1,-0.21
2026,2,0.95
