Month,S&P 500,Nasdaq 100
2023-10-31,4193.80,14409.78
2023-11-30,4567.80,15947.87
2023-12-31,4769.83,16825.93
2024-01-31,4845.65,17137.24
2024-02-29,5096.27,18043.85
2024-03-31,5254.35,18254.69
2024-04-30,5035.69,17440.69
2024-05-31,5277.51,18536.65
2024-06-30,5460.48,19682.87
2024-07-31,5522.30,19362.43
2024-08-31,5648.40,19574.64
2024-09-30,5762.48,20060.69
2024-10-31,5705.45,19890.42
2024-11-30,6032.38,20930.37
2024-12-31,5881.63,21012.17
2025-01-31,6040.53,21478.05
2025-02-28,5954.50,20884.41
2025-03-31,5611.85,19278.45
2025-04-30,5569.06,19571.02
2025-05-31,5911.69,21340.99
2025-06-30,6204.95,22679.01
2025-07-31,6339.39,23218.12
2025-08-31,6460.26,23415.42
2025-09-30,6688.46,24679.99
2025-10-31,6840.20,25858.13
2025-11-30,6849.09,25434.89
2025-12-31,6845.50,25249.85
2026-01-31,6939.03,25552.39
2026-02-28,6878.88,24960.04
2026-03-31,6528.52,23740.19
2026-04-30,7209.01,27452.12
2026-05-31,7580.06,30333.18
2026-06-30,7499.36,30276.35
2026-07-31,7509.97,29079.99
