"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-124.90","49.72","COMOX A","1021830","2003-01-01","2003","01","01","","7.5","","6.1","","6.8","","11.2","","0.0","","19.4","","0.0","","19.4","","0","","14","E","65","E"
"-124.90","49.72","COMOX A","1021830","2003-01-02","2003","01","02","","12.2","","6.4","","9.3","","8.7","","0.0","","54.2","","0.0","","54.2","","0","","15","E","89","E"
"-124.90","49.72","COMOX A","1021830","2003-01-03","2003","01","03","","10.1","","6.4","","8.3","","9.7","","0.0","","5.0","","0.0","","5.0","","0","","14","E","63","E"
"-124.90","49.72","COMOX A","1021830","2003-01-04","2003","01","04","","13.6","","4.4","","9.0","","9.0","","0.0","","17.2","","0.0","","17.2","","0","","15","E","72","E"
"-124.90","49.72","COMOX A","1021830","2003-01-05","2003","01","05","","8.8","","2.8","","5.8","","12.2","","0.0","","0.0","","0.0","","0.0","","0","","16","E","39","E"
"-124.90","49.72","COMOX A","1021830","2003-01-06","2003","01","06","","8.8","","0.6","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-124.90","49.72","COMOX A","1021830","2003-01-07","2003","01","07","","8.7","","-1.2","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-124.90","49.72","COMOX A","1021830","2003-01-08","2003","01","08","","8.7","","0.4","","4.6","","13.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-124.90","49.72","COMOX A","1021830","2003-01-09","2003","01","09","","4.7","","-1.7","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-124.90","49.72","COMOX A","1021830","2003-01-10","2003","01","10","","1.9","","-1.2","","0.4","","17.6","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-124.90","49.72","COMOX A","1021830","2003-01-11","2003","01","11","","4.0","","0.1","","2.1","","15.9","","0.0","","12.0","","0.0","","12.0","","0","","","","<31",""
"-124.90","49.72","COMOX A","1021830","2003-01-12","2003","01","12","","6.5","","2.5","","4.5","","13.5","","0.0","","1.0","","0.0","","1.0","","0","","","","<31",""
"-124.90","49.72","COMOX A","1021830","2003-01-13","2003","01","13","","7.3","","4.2","","5.8","","12.2","","0.0","","8.8","","0.0","","8.8","","0","","13","E","39","E"
"-124.90","49.72","COMOX A","1021830","2003-01-14","2003","01","14","","7.7","","0.4","","4.1","","13.9","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
